text,label
my payment failed but money was deducted please help help me resolve this,billing
how do i upgrade my subscription? asap,general_inquiry
i returned the product but no refund yet asap,refund
do you offer discounts? i'm disappointed please help,general_inquiry
delivery took too long thanks this is frustrating,delivery
i cannot verify my account help me resolve this i'm disappointed,account
someone accessed my account without permission help me resolve this urgent,account
why was my card debited again? help me resolve this,billing
the app keeps crashing when i open it i need assistance urgent,technical_support
the rider did not call me urgent i need assistance,delivery
how do i get my money back? this is frustrating,refund
i forgot my password and cannot reset it,account
the app keeps crashing when i open it i'm disappointed,technical_support
tell me more about your pricing plans asap,general_inquiry
where is your office located? help me resolve this,general_inquiry
my payment failed but money was deducted this is unacceptable kindly respond,billing
my parcel was delivered to the wrong address,delivery
i was charged twice for my subscription i need assistance,billing
where is your office located? please help,general_inquiry
how do i upgrade my subscription? i'm disappointed,general_inquiry
i returned the product but no refund yet,refund
package tracking is not updating this is frustrating,delivery
i cannot verify my account help me resolve this,account
how can i contact customer support? urgent help me resolve this,general_inquiry
where is my package? kindly respond i'm disappointed,delivery
i want a refund for my purchase thanks,refund
i cannot verify my account,account
the app is slow and freezing,technical_support
i forgot my password and cannot reset it asap,account
how do i upgrade my subscription? i'm disappointed kindly respond,general_inquiry
my profile details are not saving this is unacceptable,account
i was charged twice for my subscription this is unacceptable help me resolve this,billing
i get an error message when i try to pay asap,technical_support
package tracking is not updating i need assistance kindly respond,delivery
i forgot my password and cannot reset it kindly respond urgent,account
i was charged twice for my subscription i'm disappointed asap,billing
i cannot verify my account kindly respond,account
the app keeps crashing when i open it thanks,technical_support
i forgot my password and cannot reset it help me resolve this,account
refund my payment immediately urgent,refund
i returned the product but no refund yet asap,refund
do you offer discounts? kindly respond,general_inquiry
i forgot my password and cannot reset it,account
i get an error message when i try to pay asap,technical_support
my profile details are not saving,account
refund my payment immediately urgent thanks,refund
refund my payment immediately kindly respond i need assistance,refund
how can i contact customer support? kindly respond,general_inquiry
where is my package? asap,delivery
my refund request was rejected,refund
i cannot verify my account kindly respond,account
how can i contact customer support? urgent,general_inquiry
the system keeps timing out,technical_support
what are your working hours? this is frustrating,general_inquiry
my invoice amount is incorrect asap,billing
where is my package? kindly respond urgent,delivery
i want to deactivate my account i need assistance,account
how can i contact customer support? please help help me resolve this,general_inquiry
my account dashboard is blank i'm disappointed,technical_support
my order has not arrived yet help me resolve this,delivery
i need my receipt for last month urgent,billing
billing error on my account i'm disappointed,billing
the system keeps timing out this is unacceptable,technical_support
my invoice amount is incorrect thanks,billing
billing error on my account asap i need assistance,billing
refund my payment immediately thanks,refund
the delivery is late help me resolve this,delivery
my payment failed but money was deducted asap urgent,billing
the app keeps crashing when i open it kindly respond,technical_support
how do i upgrade my subscription? this is frustrating,general_inquiry
i need my receipt for last month this is frustrating,billing
i was charged twice for my subscription this is frustrating,billing
refund my payment immediately,refund
refund my payment immediately please help,refund
how do i upgrade my subscription? please help,general_inquiry
"your charges are too high, explain the bill thanks",billing
refund my payment immediately kindly respond,refund
i cannot log into the system,technical_support
where is my package? please help kindly respond,delivery
do you offer discounts? thanks,general_inquiry
i returned the product but no refund yet urgent,refund
the app keeps crashing when i open it help me resolve this,technical_support
delivery took too long,delivery
i want a refund for my purchase,refund
tell me more about your pricing plans urgent,general_inquiry
i want a refund for my purchase i'm disappointed help me resolve this,refund
delivery took too long i'm disappointed urgent,delivery
what services do you provide? help me resolve this,general_inquiry
how do i get my money back? help me resolve this,refund
i was charged twice for my subscription asap,billing
billing error on my account i need assistance,billing
my parcel was delivered to the wrong address i'm disappointed help me resolve this,delivery
my invoice amount is incorrect this is unacceptable,billing
how can i contact customer support? help me resolve this,general_inquiry
how do i get my money back?,refund
i returned the product but no refund yet,refund
refund is taking too long i'm disappointed this is frustrating,refund
my account was locked unexpectedly please help,account
i was charged twice for my subscription please help kindly respond,billing
my order has not arrived yet help me resolve this,delivery
delivery took too long thanks,delivery
i was promised a refund but nothing happened this is frustrating urgent,refund
how can i contact customer support? asap,general_inquiry
refund my payment immediately,refund
i was promised a refund but nothing happened asap urgent,refund
package tracking is not updating thanks,delivery
i cannot log into the system,technical_support
i cannot log into the system,technical_support
someone accessed my account without permission urgent,account
my payment failed but money was deducted i'm disappointed asap,billing
my refund request was rejected,refund
i want to deactivate my account asap,account
i was charged twice for my subscription kindly respond,billing
the delivery is late please help,delivery
please change my email address help me resolve this,account
i returned the product but no refund yet this is unacceptable i'm disappointed,refund
i cannot log into the system,technical_support
i cannot verify my account i'm disappointed,account
my payment failed but money was deducted,billing
delivery took too long i'm disappointed,delivery
my invoice amount is incorrect,billing
i get an error message when i try to pay thanks asap,technical_support
tell me more about your pricing plans asap,general_inquiry
refund my payment immediately this is frustrating,refund
my invoice amount is incorrect,billing
i want to deactivate my account kindly respond,account
i cannot verify my account i'm disappointed,account
i cannot log into the system asap,technical_support
my profile details are not saving thanks this is unacceptable,account
i cannot log into the system thanks thanks,technical_support
where is my package? this is unacceptable,delivery
my order has not arrived yet,delivery
tell me more about your pricing plans urgent,general_inquiry
the delivery is late i need assistance i need assistance,delivery
billing error on my account,billing
i need my receipt for last month,billing
how can i contact customer support? thanks help me resolve this,general_inquiry
the delivery is late this is unacceptable this is frustrating,delivery
why was my card debited again? i need assistance,billing
i returned the product but no refund yet asap asap,refund
do you offer discounts? i need assistance,general_inquiry
my refund request was rejected this is unacceptable,refund
where is your office located?,general_inquiry
my invoice amount is incorrect i'm disappointed,billing
i was promised a refund but nothing happened i'm disappointed,refund
what are your working hours? help me resolve this,general_inquiry
the app is slow and freezing thanks,technical_support
my account was locked unexpectedly thanks,account
tell me more about your pricing plans i need assistance,general_inquiry
package tracking is not updating this is unacceptable,delivery
my order has not arrived yet this is frustrating,delivery
the app is slow and freezing urgent,technical_support
i returned the product but no refund yet asap help me resolve this,refund
how can i contact customer support? asap,general_inquiry
billing error on my account help me resolve this,billing
how can i contact customer support? please help,general_inquiry
the system keeps timing out asap,technical_support
i forgot my password and cannot reset it i'm disappointed kindly respond,account
the system keeps timing out please help,technical_support
the app is slow and freezing asap i need assistance,technical_support
what services do you provide? i need assistance,general_inquiry
why was my card debited again? asap this is unacceptable,billing
"your charges are too high, explain the bill i'm disappointed i need assistance",billing
my profile details are not saving help me resolve this,account
i cannot verify my account,account
delivery took too long this is unacceptable,delivery
my invoice amount is incorrect asap,billing
i forgot my password and cannot reset it,account
i cannot log into the system,technical_support
the app keeps crashing when i open it this is frustrating,technical_support
how do i get my money back? asap,refund
the website is not loading properly kindly respond,technical_support
my account was locked unexpectedly thanks this is unacceptable,account
i was charged twice for my subscription this is frustrating,billing
i returned the product but no refund yet,refund
what are your working hours? this is frustrating,general_inquiry
the rider did not call me kindly respond please help,delivery
billing error on my account this is frustrating,billing
i was charged twice for my subscription i need assistance,billing
the system keeps timing out urgent,technical_support
how do i get my money back? kindly respond,refund
the app is slow and freezing help me resolve this,technical_support
i cannot log into the system,technical_support
my account dashboard is blank kindly respond thanks,technical_support
my parcel was delivered to the wrong address this is frustrating,delivery
i forgot my password and cannot reset it i need assistance,account
do you offer discounts?,general_inquiry
please change my email address thanks,account
my account was locked unexpectedly,account
how do i upgrade my subscription? kindly respond,general_inquiry
i get an error message when i try to pay thanks,technical_support
"your charges are too high, explain the bill asap asap",billing
what services do you provide? asap,general_inquiry
delivery took too long thanks help me resolve this,delivery
refund is taking too long help me resolve this asap,refund
i was charged twice for my subscription,billing
where is my package? help me resolve this,delivery
please change my email address asap,account
what are your working hours? kindly respond,general_inquiry
the system keeps timing out,technical_support
my parcel was delivered to the wrong address i need assistance please help,delivery
the app keeps crashing when i open it i need assistance,technical_support
i cannot log into the system thanks,technical_support
how do i get my money back?,refund
what services do you provide? i need assistance,general_inquiry
"your charges are too high, explain the bill urgent i'm disappointed",billing
i was promised a refund but nothing happened this is frustrating urgent,refund
my parcel was delivered to the wrong address thanks this is frustrating,delivery
i get an error message when i try to pay,technical_support
refund my payment immediately i need assistance,refund
my refund request was rejected thanks i'm disappointed,refund
the website is not loading properly asap please help,technical_support
the app is slow and freezing i need assistance,technical_support
the system keeps timing out,technical_support
where is your office located? help me resolve this,general_inquiry
the app keeps crashing when i open it help me resolve this,technical_support
the app is slow and freezing thanks,technical_support
refund is taking too long thanks,refund
tell me more about your pricing plans urgent,general_inquiry
i get an error message when i try to pay this is unacceptable urgent,technical_support
the rider did not call me thanks i need assistance,delivery
my invoice amount is incorrect asap,billing
what are your working hours? please help,general_inquiry
my profile details are not saving,account
delivery took too long please help please help,delivery
i was promised a refund but nothing happened this is unacceptable,refund
package tracking is not updating urgent,delivery
the rider did not call me urgent please help,delivery
billing error on my account i'm disappointed,billing
how do i upgrade my subscription?,general_inquiry
billing error on my account asap,billing
how can i contact customer support? this is unacceptable,general_inquiry
my order has not arrived yet help me resolve this,delivery
my parcel was delivered to the wrong address i'm disappointed,delivery
package tracking is not updating help me resolve this,delivery
please change my email address this is frustrating,account
the app keeps crashing when i open it asap,technical_support
refund my payment immediately kindly respond,refund
my account dashboard is blank i'm disappointed,technical_support
my parcel was delivered to the wrong address thanks,delivery
the rider did not call me this is frustrating,delivery
my account was locked unexpectedly,account
please change my email address i'm disappointed,account
the delivery is late i'm disappointed,delivery
my account was locked unexpectedly i need assistance,account
where is my package?,delivery
please change my email address asap,account
my account dashboard is blank help me resolve this this is frustrating,technical_support
my parcel was delivered to the wrong address i'm disappointed,delivery
i need my receipt for last month asap i need assistance,billing
my parcel was delivered to the wrong address kindly respond this is unacceptable,delivery
the system keeps timing out,technical_support
where is my package? i'm disappointed,delivery
i was charged twice for my subscription help me resolve this,billing
the rider did not call me thanks,delivery
i forgot my password and cannot reset it kindly respond i need assistance,account
my order has not arrived yet this is frustrating asap,delivery
the app keeps crashing when i open it urgent urgent,technical_support
my account was locked unexpectedly this is unacceptable urgent,account
my profile details are not saving i'm disappointed,account
refund is taking too long asap help me resolve this,refund
tell me more about your pricing plans please help thanks,general_inquiry
how do i get my money back? i need assistance this is unacceptable,refund
the app is slow and freezing,technical_support
my parcel was delivered to the wrong address please help,delivery
refund my payment immediately thanks,refund
"your charges are too high, explain the bill asap",billing
my invoice amount is incorrect,billing
my invoice amount is incorrect please help i'm disappointed,billing
where is your office located? this is unacceptable,general_inquiry
"your charges are too high, explain the bill help me resolve this",billing
billing error on my account thanks,billing
where is my package? asap i'm disappointed,delivery
how can i contact customer support? help me resolve this urgent,general_inquiry
i was promised a refund but nothing happened,refund
what are your working hours? i need assistance asap,general_inquiry
"your charges are too high, explain the bill",billing
the website is not loading properly urgent,technical_support
what services do you provide? i need assistance this is unacceptable,general_inquiry
the app keeps crashing when i open it asap,technical_support
someone accessed my account without permission please help help me resolve this,account
please change my email address i need assistance,account
i was promised a refund but nothing happened,refund
i forgot my password and cannot reset it help me resolve this,account
i forgot my password and cannot reset it help me resolve this thanks,account
tell me more about your pricing plans kindly respond asap,general_inquiry
how can i contact customer support? kindly respond,general_inquiry
my invoice amount is incorrect,billing
why was my card debited again? this is unacceptable i need assistance,billing
my profile details are not saving help me resolve this,account
i was charged twice for my subscription please help please help,billing
how do i get my money back? this is unacceptable,refund
tell me more about your pricing plans please help,general_inquiry
how do i upgrade my subscription? kindly respond,general_inquiry
billing error on my account,billing
"your charges are too high, explain the bill this is unacceptable",billing
someone accessed my account without permission,account
please change my email address this is frustrating,account
i want a refund for my purchase this is unacceptable i'm disappointed,refund
delivery took too long,delivery
billing error on my account thanks asap,billing
the app keeps crashing when i open it help me resolve this thanks,technical_support
my parcel was delivered to the wrong address this is unacceptable,delivery
what services do you provide? thanks,general_inquiry
refund is taking too long this is unacceptable,refund
i cannot verify my account please help,account
i want a refund for my purchase,refund
the website is not loading properly kindly respond,technical_support
the app keeps crashing when i open it,technical_support
why was my card debited again? this is frustrating,billing
i was promised a refund but nothing happened i need assistance urgent,refund
what are your working hours?,general_inquiry
the app is slow and freezing this is unacceptable,technical_support
the website is not loading properly i need assistance help me resolve this,technical_support
package tracking is not updating i need assistance,delivery
package tracking is not updating urgent i'm disappointed,delivery
where is your office located? this is unacceptable,general_inquiry
my account was locked unexpectedly asap help me resolve this,account
the system keeps timing out thanks,technical_support
my account dashboard is blank please help,technical_support
refund my payment immediately i need assistance,refund
i want a refund for my purchase kindly respond this is frustrating,refund
why was my card debited again? urgent this is frustrating,billing
the delivery is late help me resolve this,delivery
what services do you provide? help me resolve this this is frustrating,general_inquiry
where is your office located?,general_inquiry
my invoice amount is incorrect this is frustrating,billing
the rider did not call me this is unacceptable,delivery
i cannot log into the system thanks,technical_support
tell me more about your pricing plans kindly respond i need assistance,general_inquiry
what are your working hours? asap i'm disappointed,general_inquiry
how can i contact customer support? thanks please help,general_inquiry
i cannot verify my account kindly respond this is frustrating,account
please change my email address i need assistance,account
where is your office located? thanks,general_inquiry
my profile details are not saving i'm disappointed,account
"your charges are too high, explain the bill asap",billing
my parcel was delivered to the wrong address i'm disappointed,delivery
i get an error message when i try to pay i need assistance please help,technical_support
the system keeps timing out help me resolve this,technical_support
package tracking is not updating please help,delivery
what are your working hours? this is frustrating,general_inquiry
how do i upgrade my subscription? help me resolve this urgent,general_inquiry
my refund request was rejected kindly respond thanks,refund
the app keeps crashing when i open it urgent,technical_support
what are your working hours?,general_inquiry
the app is slow and freezing i need assistance,technical_support
my account dashboard is blank please help,technical_support
where is your office located? help me resolve this,general_inquiry
please change my email address please help,account
i returned the product but no refund yet this is frustrating thanks,refund
my account was locked unexpectedly asap,account
the app is slow and freezing i need assistance this is unacceptable,technical_support
i cannot verify my account i'm disappointed i'm disappointed,account
i forgot my password and cannot reset it urgent kindly respond,account
the app is slow and freezing i'm disappointed this is frustrating,technical_support
what services do you provide? please help i'm disappointed,general_inquiry
i cannot log into the system help me resolve this,technical_support
the app keeps crashing when i open it this is frustrating,technical_support
how can i contact customer support? i need assistance,general_inquiry
my refund request was rejected,refund
my parcel was delivered to the wrong address urgent kindly respond,delivery
refund my payment immediately urgent i'm disappointed,refund
why was my card debited again? thanks,billing
package tracking is not updating i'm disappointed thanks,delivery
someone accessed my account without permission i'm disappointed,account
i was promised a refund but nothing happened,refund
the app is slow and freezing this is frustrating urgent,technical_support
why was my card debited again? urgent,billing
i cannot log into the system help me resolve this this is unacceptable,technical_support
how can i contact customer support? this is unacceptable,general_inquiry
delivery took too long i need assistance kindly respond,delivery
i want to deactivate my account i need assistance thanks,account
i cannot log into the system this is frustrating,technical_support
billing error on my account this is frustrating kindly respond,billing
my account dashboard is blank this is unacceptable,technical_support
my account was locked unexpectedly i'm disappointed,account
my refund request was rejected this is frustrating,refund
"your charges are too high, explain the bill i'm disappointed",billing
please change my email address urgent,account
my parcel was delivered to the wrong address,delivery
my payment failed but money was deducted this is unacceptable,billing
my parcel was delivered to the wrong address i need assistance,delivery
my refund request was rejected urgent,refund
why was my card debited again? this is frustrating i'm disappointed,billing
i was promised a refund but nothing happened,refund
i forgot my password and cannot reset it i need assistance,account
"your charges are too high, explain the bill please help",billing
where is your office located? thanks,general_inquiry
i was promised a refund but nothing happened urgent,refund
the delivery is late this is unacceptable,delivery
how do i upgrade my subscription? this is unacceptable,general_inquiry
i need my receipt for last month this is frustrating,billing
my account dashboard is blank urgent kindly respond,technical_support
my parcel was delivered to the wrong address thanks i'm disappointed,delivery
where is your office located? urgent,general_inquiry
the app keeps crashing when i open it this is frustrating,technical_support
someone accessed my account without permission this is frustrating please help,account
refund my payment immediately urgent,refund
i was charged twice for my subscription this is unacceptable i'm disappointed,billing
the website is not loading properly i need assistance,technical_support
the delivery is late this is unacceptable,delivery
tell me more about your pricing plans,general_inquiry
i forgot my password and cannot reset it,account
what are your working hours?,general_inquiry
i cannot log into the system asap,technical_support
the app is slow and freezing please help,technical_support
my account was locked unexpectedly i need assistance,account
my payment failed but money was deducted i need assistance,billing
my refund request was rejected please help,refund
i was promised a refund but nothing happened i'm disappointed kindly respond,refund
the delivery is late this is frustrating thanks,delivery
do you offer discounts? urgent,general_inquiry
billing error on my account,billing
i cannot log into the system thanks,technical_support
refund is taking too long,refund
how can i contact customer support? i need assistance,general_inquiry
i need my receipt for last month,billing
what services do you provide? this is frustrating,general_inquiry
i returned the product but no refund yet kindly respond,refund
the website is not loading properly please help,technical_support
i cannot verify my account i need assistance,account
refund my payment immediately,refund
the app is slow and freezing kindly respond,technical_support
please change my email address thanks i need assistance,account
someone accessed my account without permission asap,account
how do i get my money back? help me resolve this,refund
i cannot verify my account asap this is frustrating,account
someone accessed my account without permission urgent,account
the delivery is late,delivery
how do i upgrade my subscription? urgent,general_inquiry
i returned the product but no refund yet i need assistance,refund
i want to deactivate my account,account
my parcel was delivered to the wrong address i'm disappointed,delivery
what services do you provide? this is unacceptable urgent,general_inquiry
do you offer discounts? this is unacceptable i'm disappointed,general_inquiry
the rider did not call me i'm disappointed kindly respond,delivery
refund my payment immediately urgent asap,refund
how do i get my money back? urgent this is unacceptable,refund
the app is slow and freezing,technical_support
the app is slow and freezing please help kindly respond,technical_support
the app is slow and freezing i need assistance asap,technical_support
the app is slow and freezing please help thanks,technical_support
i cannot verify my account kindly respond help me resolve this,account
do you offer discounts? i'm disappointed help me resolve this,general_inquiry
package tracking is not updating urgent i'm disappointed,delivery
the delivery is late thanks this is unacceptable,delivery
delivery took too long urgent,delivery
tell me more about your pricing plans please help,general_inquiry
what services do you provide? this is frustrating,general_inquiry
my refund request was rejected this is unacceptable,refund
the website is not loading properly urgent this is frustrating,technical_support
i forgot my password and cannot reset it this is unacceptable,account
i cannot verify my account this is unacceptable,account
i want to deactivate my account this is frustrating please help,account
the system keeps timing out this is frustrating,technical_support
refund my payment immediately urgent i'm disappointed,refund
i returned the product but no refund yet i'm disappointed,refund
i returned the product but no refund yet asap,refund
"your charges are too high, explain the bill i need assistance",billing
i cannot log into the system thanks help me resolve this,technical_support
the rider did not call me i'm disappointed asap,delivery
delivery took too long thanks,delivery
do you offer discounts? thanks i'm disappointed,general_inquiry
what are your working hours?,general_inquiry
i was promised a refund but nothing happened,refund
my account dashboard is blank i'm disappointed,technical_support
my parcel was delivered to the wrong address this is frustrating,delivery
i returned the product but no refund yet i'm disappointed,refund
my account was locked unexpectedly,account
i was promised a refund but nothing happened,refund
do you offer discounts? this is unacceptable,general_inquiry
my payment failed but money was deducted i'm disappointed,billing
someone accessed my account without permission urgent this is frustrating,account
i cannot log into the system,technical_support
i forgot my password and cannot reset it thanks help me resolve this,account
how do i upgrade my subscription? asap,general_inquiry
tell me more about your pricing plans urgent,general_inquiry
the website is not loading properly please help thanks,technical_support
the website is not loading properly,technical_support
my order has not arrived yet,delivery
refund my payment immediately help me resolve this,refund
my account was locked unexpectedly i need assistance,account
the rider did not call me help me resolve this,delivery
my account dashboard is blank,technical_support
do you offer discounts? this is frustrating,general_inquiry
"your charges are too high, explain the bill i need assistance please help",billing
how do i get my money back? thanks this is frustrating,refund
i was charged twice for my subscription thanks,billing
how can i contact customer support? this is frustrating asap,general_inquiry
i was charged twice for my subscription please help,billing
how do i upgrade my subscription? kindly respond thanks,general_inquiry
i get an error message when i try to pay this is unacceptable,technical_support
how can i contact customer support? kindly respond,general_inquiry
i was charged twice for my subscription urgent,billing
i was promised a refund but nothing happened i'm disappointed,refund
the rider did not call me this is unacceptable,delivery
where is your office located? asap i'm disappointed,general_inquiry
how do i upgrade my subscription? thanks thanks,general_inquiry
the system keeps timing out thanks,technical_support
where is your office located? help me resolve this,general_inquiry
why was my card debited again? urgent,billing
i cannot log into the system this is frustrating,technical_support
the rider did not call me asap,delivery
how can i contact customer support? this is unacceptable,general_inquiry
i want to deactivate my account asap,account
my order has not arrived yet thanks,delivery
the system keeps timing out i'm disappointed i need assistance,technical_support
my account dashboard is blank,technical_support
i returned the product but no refund yet help me resolve this this is frustrating,refund
what are your working hours? i need assistance,general_inquiry
package tracking is not updating help me resolve this,delivery
i need my receipt for last month i'm disappointed,billing
someone accessed my account without permission kindly respond asap,account
how do i upgrade my subscription? this is unacceptable urgent,general_inquiry
refund my payment immediately please help,refund
i want to deactivate my account this is frustrating,account
refund my payment immediately i'm disappointed i'm disappointed,refund
i was charged twice for my subscription help me resolve this kindly respond,billing
my order has not arrived yet,delivery
please change my email address,account
do you offer discounts? help me resolve this asap,general_inquiry
my payment failed but money was deducted i need assistance,billing
the website is not loading properly please help,technical_support
delivery took too long i need assistance,delivery
the system keeps timing out,technical_support
tell me more about your pricing plans help me resolve this,general_inquiry
someone accessed my account without permission urgent this is unacceptable,account
refund is taking too long please help,refund
the app keeps crashing when i open it help me resolve this asap,technical_support
refund is taking too long urgent i need assistance,refund
i was charged twice for my subscription help me resolve this this is frustrating,billing
my order has not arrived yet this is frustrating thanks,delivery
my order has not arrived yet,delivery
someone accessed my account without permission urgent,account
where is my package? asap,delivery
do you offer discounts? this is unacceptable,general_inquiry
the app keeps crashing when i open it thanks help me resolve this,technical_support
billing error on my account i need assistance,billing
the rider did not call me,delivery
where is my package? this is frustrating this is frustrating,delivery
how can i contact customer support? this is frustrating,general_inquiry
where is your office located? help me resolve this,general_inquiry
the delivery is late i need assistance,delivery
i cannot verify my account,account
package tracking is not updating this is frustrating,delivery
my refund request was rejected kindly respond,refund
my invoice amount is incorrect help me resolve this,billing
i want to deactivate my account i need assistance thanks,account
why was my card debited again? i'm disappointed,billing
please change my email address help me resolve this,account
do you offer discounts? i need assistance thanks,general_inquiry
i want to deactivate my account urgent,account
package tracking is not updating,delivery
the delivery is late help me resolve this help me resolve this,delivery
my account was locked unexpectedly i'm disappointed,account
the website is not loading properly help me resolve this,technical_support
how can i contact customer support? i'm disappointed help me resolve this,general_inquiry
my parcel was delivered to the wrong address i'm disappointed,delivery
i forgot my password and cannot reset it please help,account
package tracking is not updating help me resolve this,delivery
refund my payment immediately please help this is frustrating,refund
the rider did not call me urgent,delivery
where is my package? kindly respond,delivery
i want a refund for my purchase thanks,refund
where is my package? help me resolve this,delivery
how can i contact customer support? kindly respond,general_inquiry
package tracking is not updating thanks help me resolve this,delivery
i was charged twice for my subscription i need assistance,billing
why was my card debited again? asap,billing
refund my payment immediately,refund
delivery took too long,delivery
i cannot verify my account i'm disappointed,account
"your charges are too high, explain the bill kindly respond",billing
what are your working hours?,general_inquiry
how do i upgrade my subscription?,general_inquiry
do you offer discounts? please help,general_inquiry
where is your office located? kindly respond,general_inquiry
i need my receipt for last month urgent asap,billing
the system keeps timing out help me resolve this i need assistance,technical_support
i cannot log into the system,technical_support
the app is slow and freezing i need assistance,technical_support
refund my payment immediately,refund
my invoice amount is incorrect kindly respond,billing
the app is slow and freezing please help,technical_support
the website is not loading properly asap,technical_support
package tracking is not updating thanks help me resolve this,delivery
how can i contact customer support? this is frustrating please help,general_inquiry
refund is taking too long,refund
my account was locked unexpectedly this is unacceptable,account
i cannot verify my account,account
i was charged twice for my subscription this is unacceptable,billing
my profile details are not saving i'm disappointed,account
my account dashboard is blank,technical_support
i want a refund for my purchase kindly respond thanks,refund
i forgot my password and cannot reset it this is unacceptable,account
please change my email address this is frustrating,account
how do i upgrade my subscription?,general_inquiry
refund is taking too long this is frustrating,refund
what are your working hours? this is unacceptable this is unacceptable,general_inquiry
i want to deactivate my account thanks thanks,account
what are your working hours? i'm disappointed asap,general_inquiry
package tracking is not updating kindly respond,delivery
how can i contact customer support?,general_inquiry
the app is slow and freezing,technical_support
my account dashboard is blank,technical_support
my payment failed but money was deducted i need assistance kindly respond,billing
my profile details are not saving,account
how do i upgrade my subscription? asap,general_inquiry
my order has not arrived yet,delivery
please change my email address,account
i cannot verify my account this is unacceptable this is unacceptable,account
i cannot verify my account i'm disappointed this is unacceptable,account
my account was locked unexpectedly i'm disappointed please help,account
what services do you provide? this is frustrating,general_inquiry
my account was locked unexpectedly this is unacceptable,account
what services do you provide? asap,general_inquiry
do you offer discounts? please help,general_inquiry
the system keeps timing out thanks,technical_support
i cannot log into the system this is frustrating,technical_support
i cannot verify my account thanks i need assistance,account
what are your working hours? i'm disappointed,general_inquiry
my invoice amount is incorrect asap,billing
what are your working hours? please help,general_inquiry
please change my email address asap this is unacceptable,account
my account was locked unexpectedly,account
my account was locked unexpectedly help me resolve this,account
do you offer discounts? please help help me resolve this,general_inquiry
my account dashboard is blank help me resolve this,technical_support
how do i upgrade my subscription? help me resolve this thanks,general_inquiry
i cannot log into the system,technical_support
i returned the product but no refund yet kindly respond asap,refund
someone accessed my account without permission i'm disappointed,account
do you offer discounts? this is unacceptable this is unacceptable,general_inquiry
where is your office located? urgent,general_inquiry
what are your working hours? this is unacceptable thanks,general_inquiry
my payment failed but money was deducted please help this is unacceptable,billing
refund is taking too long this is frustrating,refund
the delivery is late,delivery
tell me more about your pricing plans kindly respond,general_inquiry
the rider did not call me,delivery
i want a refund for my purchase thanks,refund
what services do you provide? thanks,general_inquiry
i cannot verify my account help me resolve this this is unacceptable,account
my order has not arrived yet asap,delivery
i returned the product but no refund yet thanks i need assistance,refund
i want to deactivate my account i'm disappointed,account
what are your working hours? asap,general_inquiry
i was promised a refund but nothing happened urgent urgent,refund
i want a refund for my purchase this is frustrating,refund
how do i upgrade my subscription? help me resolve this,general_inquiry
what services do you provide? thanks,general_inquiry
where is your office located? urgent,general_inquiry
i want to deactivate my account please help,account
what services do you provide? i need assistance i need assistance,general_inquiry
my invoice amount is incorrect i need assistance,billing
i returned the product but no refund yet,refund
please change my email address i need assistance,account
my parcel was delivered to the wrong address this is frustrating urgent,delivery
i get an error message when i try to pay kindly respond asap,technical_support
do you offer discounts? asap this is unacceptable,general_inquiry
how can i contact customer support? i need assistance urgent,general_inquiry
my account dashboard is blank thanks,technical_support
my refund request was rejected i'm disappointed i need assistance,refund
the app keeps crashing when i open it asap,technical_support
my invoice amount is incorrect i need assistance help me resolve this,billing
the delivery is late i need assistance,delivery
i get an error message when i try to pay this is unacceptable i need assistance,technical_support
my account dashboard is blank this is frustrating,technical_support
the app keeps crashing when i open it urgent asap,technical_support
i forgot my password and cannot reset it,account
delivery took too long thanks,delivery
i get an error message when i try to pay,technical_support
tell me more about your pricing plans please help please help,general_inquiry
someone accessed my account without permission this is unacceptable,account
i need my receipt for last month thanks,billing
my account dashboard is blank this is unacceptable this is frustrating,technical_support
my account was locked unexpectedly,account
the app is slow and freezing please help,technical_support
delivery took too long this is frustrating this is frustrating,delivery
my payment failed but money was deducted this is unacceptable,billing
"your charges are too high, explain the bill kindly respond urgent",billing
i want a refund for my purchase i need assistance,refund
my account dashboard is blank help me resolve this,technical_support
my invoice amount is incorrect this is frustrating,billing
my parcel was delivered to the wrong address urgent,delivery
delivery took too long,delivery
i forgot my password and cannot reset it help me resolve this please help,account
i want to deactivate my account please help,account
where is my package? this is frustrating,delivery
the website is not loading properly asap kindly respond,technical_support
my invoice amount is incorrect asap,billing
my parcel was delivered to the wrong address thanks thanks,delivery
i need my receipt for last month this is frustrating,billing
the rider did not call me please help,delivery
the app is slow and freezing urgent,technical_support
what services do you provide? this is unacceptable,general_inquiry
delivery took too long urgent this is unacceptable,delivery
i need my receipt for last month this is unacceptable,billing
"your charges are too high, explain the bill asap",billing
